"tabela","kolumna","wierszy"
"api_logs","organization_id","224"
"v8_artifact_origin_links","organization_id","90"
"v8_output_artifacts","organization_id","90"
"project_role_templates","organization_id","24"
"activity_logs","organization_id","12"
"legal_document_acceptances","organization_id","5"
"attribution_events","organization_id","4"
"conversion_events","organization_id","4"
"organization_limits","organization_id","4"
"organization_members","organization_id","4"
"users","organization_id","4"
"ie_aggregate_state","organization_id","2"
"ie_audit_events","organization_id","2"
"ie_command_receipts","organization_id","2"
"ie_outbox_events","organization_id","2"
"audit_events","org_id","1"
"ie_aggregate_relations","organization_id","1"
"initiative_candidates","organization_id","1"
"projects","organization_id","1"
"tasks","organization_id","1"
