"tabela","kolumna","wierszy"
"api_logs","organization_id","9428"
"activity_logs","organization_id","1102"
"audit_events","org_id","483"
"audit_log","organization_id","252"
"organization_context_claims","organization_id","222"
"knowledge_chunks","organization_id","199"
"wave6_context_ledger","organization_id","184"
"financial_statement_line_aliases","organization_id","165"
"v8_output_artifacts","organization_id","155"
"conversion_events","organization_id","125"
"v8_artifact_origin_links","organization_id","103"
"organization_context_items","organization_id","70"
"v8_consumer_tool_policies","organization_id","54"
"v8_tool_catalog","organization_id","54"
"my_ideas","organization_id","53"
"tasks","organization_id","50"
"interview_questions","organization_id","40"
"initiative_milestones","organization_id","39"
"conversations","organization_id","36"
"initiatives","organization_id","36"
"ai_chat_runs","organization_id","35"
"ai_cost_usage","organization_id","35"
"ai_quality_metrics","organization_id","35"
"wave6_context_snapshots","organization_id","34"
"my_idea_maps","organization_id","31"
"financial_statements","organization_id","30"
"decisions","organization_id","26"
"finance_periods","organization_id","26"
"my_work_session_context","organization_id","23"
"organization_members","organization_id","23"
"users","organization_id","22"
"meeting_participants","organization_id","21"
"v8_kpi_finance_reconciliations","organization_id","19"
"v8_kpi_definitions","organization_id","17"
"v8_roi_realization_entries","organization_id","17"
"ai_usage_logs","organization_id","15"
"interview_report_pack_worksheets","organization_id","15"
"knowledge_graph_entities","organization_id","13"
"project_role_templates","organization_id","12"
"research_session_events","organization_id","12"
"initiative_benefits","organization_id","11"
"knowledge_doc_versions","organization_id","11"
"knowledge_docs","organization_id","11"
"roi_assumptions","organization_id","11"
"api_keys","organization_id","10"
"initiative_dependencies","organization_id","10"
"custom_prompts","organization_id","9"
"interview_insight_findings","organization_id","9"
"interview_insight_handoffs","organization_id","9"
"interview_assignments","organization_id","8"
"notebook_pages","organization_id","8"
"okr_key_results","organization_id","8"
"projects","organization_id","8"
"interview_sessions","organization_id","7"
"status_reports","organization_id","7"
"tool_sessions","organization_id","6"
"tp_bases","organization_id","6"
"interview_insights","organization_id","5"
"meetings","organization_id","5"
"teams","organization_id","5"
"assessment_reports","organization_id","4"
"my_idea_map_snapshots","organization_id","4"
"notifications","organization_id","4"
"presentation_decks","organization_id","4"
"roi_realized_values","organization_id","4"
"ai_actions","organization_id","3"
"ai_run_ledger","organization_id","3"
"audit_findings","organization_id","3"
"audits","organization_id","3"
"benefits_register","organization_id","3"
"budget_initiative_links","organization_id","3"
"demo_sessions","base_org_id","3"
"demo_sessions","session_org_id","3"
"initiative_kpis","organization_id","3"
"interview_templates","organization_id","3"
"kpi_definition_versions","organization_id","3"
"meeting_decisions","organization_id","3"
"okr_objectives","organization_id","3"
"organization_switch_log","from_organization_id","3"
"organization_switch_log","to_organization_id","3"
"reports","organization_id","3"
"research_sessions","organization_id","3"
"teresa_proposals","organization_id","3"
"wave6_memory_candidates","organization_id","3"
"work_canvas_drafts","organization_id","3"
"work_canvas_proposals","organization_id","3"
"ai_deep_thinking_metrics","organization_id","2"
"legal_document_acceptances","organization_id","2"
"notebooks","organization_id","2"
"notification_dedup","organization_id","2"
"raid_items","organization_id","2"
"research_evidence_graph","organization_id","2"
"research_report_artifacts","organization_id","2"
"rollout_kpis","organization_id","2"
"v8_output_exports","organization_id","2"
"wave5_artifact_versions","organization_id","2"
"wave5_artifacts","organization_id","2"
"_v8_flag_backup_20260710","organization_id","1"
"ai_operator_plans","organization_id","1"
"ai_org_memory","organization_id","1"
"ai_security_audit_log","organization_id","1"
"artifact_evidence","organization_id","1"
"assessments","organization_id","1"
"audit_programs","organization_id","1"
"budgets","organization_id","1"
"canonical_inbox_items","organization_id","1"
"decision_enhancements","organization_id","1"
"financial_models","organization_id","1"
"financial_statement_ingest_runs","organization_id","1"
"financial_statement_packs","organization_id","1"
"financial_statement_quality_runs","organization_id","1"
"initiative_handoffs","organization_id","1"
"initiative_status_history","organization_id","1"
"interview_insight_activity","organization_id","1"
"interview_report_packs","organization_id","1"
"invitations","organization_id","1"
"organization_context_snapshots","organization_id","1"
"organization_style_profiles","organization_id","1"
"rollout_changes","organization_id","1"
"rollout_closures","organization_id","1"
"rollout_risks","organization_id","1"
"teresa_handoff_results","organization_id","1"
"usage_counters","organization_id","1"
"valuations","organization_id","1"
"wave6_memory_stewardship_decisions","organization_id","1"
