"tabela","kolumna","wierszy"
"collab_sessions","organization_id","4800"
"api_logs","organization_id","4161"
"audit_events","org_id","3521"
"v8_consumer_tool_policies","organization_id","3384"
"v8_tool_catalog","organization_id","3384"
"tool_session_presence","organization_id","1743"
"organization_context_claims","organization_id","1681"
"organization_context_items","organization_id","1660"
"my_ideas","organization_id","1631"
"organization_members","organization_id","1403"
"users","organization_id","1395"
"v8_output_artifacts","organization_id","1342"
"v8_artifact_origin_links","organization_id","1323"
"activity_logs","organization_id","1173"
"conversion_events","organization_id","1062"
"audit_log","organization_id","902"
"my_idea_maps","organization_id","764"
"test_support_runs","organization_id","260"
"conversations","organization_id","251"
"work_canvas_drafts","organization_id","214"
"canonical_inbox_items","organization_id","206"
"tasks","organization_id","206"
"my_idea_map_snapshots","organization_id","186"
"project_role_templates","organization_id","168"
"document_studio_editor_audit","organization_id","112"
"wave6_context_ledger","organization_id","112"
"decisions","organization_id","94"
"generated_workbooks","organization_id","91"
"presentation_decks","organization_id","71"
"financial_ratio_snapshots","organization_id","68"
"organization_context_snapshots","organization_id","66"
"document_lifecycle_states","organization_id","65"
"wave5_artifact_versions","organization_id","65"
"wave5_artifacts","organization_id","65"
"artifact_evidence","organization_id","62"
"document_studio_schema_overlay","organization_id","52"
"document_version_snapshots","organization_id","52"
"initiative_milestones","organization_id","39"
"knowledge_chunks","organization_id","39"
"initiatives","organization_id","36"
"organization_limits","organization_id","36"
"generated_workbook_revisions","organization_id","29"
"ai_chat_runs","organization_id","28"
"wave6_context_snapshots","organization_id","26"
"ai_cost_usage","organization_id","20"
"ai_quality_metrics","organization_id","20"
"tool_facilitation_sessions","organization_id","16"
"ai_actions","organization_id","12"
"ai_run_ledger","organization_id","12"
"financial_statement_quality_runs","organization_id","12"
"link_graph_edges","organization_id","12"
"teresa_proposals","organization_id","12"
"knowledge_doc_versions","organization_id","11"
"knowledge_docs","organization_id","11"
"knowledge_graph_entities","organization_id","11"
"notifications","organization_id","11"
"tool_sessions","organization_id","11"
"initiative_dependencies","organization_id","10"
"legal_document_acceptances","organization_id","10"
"custom_prompts","organization_id","9"
"deliverables_generation_events","organization_id","8"
"projects","organization_id","8"
"status_reports","organization_id","7"
"teresa_handoff_results","organization_id","7"
"v8_output_exports","organization_id","7"
"ai_usage_logs","organization_id","6"
"financial_statement_ingest_runs","organization_id","6"
"financial_statements","organization_id","6"
"notification_dedup","organization_id","6"
"report_builder_reports","organization_id","6"
"tp_bases","organization_id","6"
"chat_projects","organization_id","5"
"framework_entitlements","organization_id","5"
"generated_workbook_governance_events","organization_id","5"
"interview_sessions","organization_id","5"
"teams","organization_id","5"
"ai_security_audit_log","organization_id","4"
"feedback_items","organization_id","4"
"my_work_session_context","organization_id","4"
"generated_workbook_source_bindings","organization_id","3"
"interview_insight_findings","organization_id","3"
"interview_insight_handoffs","organization_id","3"
"assessments","organization_id","2"
"finance_periods","organization_id","2"
"financial_statement_packs","organization_id","2"
"presentation_export_records","organization_id","2"
"presentation_runtime_events","organization_id","2"
"reports","organization_id","2"
"rollout_kpis","organization_id","2"
"access_requests","organization_id","1"
"ai_audit_logs","organization_id","1"
"assessment_reports","organization_id","1"
"audit_programs","organization_id","1"
"conversation_purge_audit","organization_id","1"
"financial_models","organization_id","1"
"initiative_benefits","organization_id","1"
"initiative_feature_flags","organization_id","1"
"interview_assignments","organization_id","1"
"interview_insights","organization_id","1"
"my_idea_activity","organization_id","1"
"my_idea_folders","organization_id","1"
"notebook_embeddings","organization_id","1"
"notebook_pages","organization_id","1"
"notebooks","organization_id","1"
"rollout_changes","organization_id","1"
"rollout_closures","organization_id","1"
"rollout_risks","organization_id","1"
"support_tickets","organization_id","1"
