id,name,status,archived_at,archived_by,created_at
04366332-e4b5-4189-b656-72f8298665cf,"Automated Changeover Optimization",active,,,2026-02-15T16:52:27.000Z
923bc369-e684-4aa6-a598-f69746fe719a,"Automated Changeover Optimization",active,,,2026-02-15T16:52:27.000Z
21e06b0c-cf37-4c97-ae81-256a6950d691,"Automated Changeover Optimization",active,,,2026-02-15T16:52:27.000Z
ff83a6dd-b1f0-49e8-8edb-d06a3fc18241,"DBR77 Demo — All Modules",active,,,2026-02-22T10:29:11.506Z
project-dbr77-demo-all-modules,"DBR77 Demo — All Modules",active,,,2026-02-22T10:29:11.506Z
6be9d39f-2c73-4ac2-8e1d-e54870d4e872,"DBR77 Demo — All Modules",active,,,2026-02-22T10:29:11.506Z
f992cfae-9b03-473f-a685-a5f58b5a5119,"DBR77 Transformation Program",active,,,2025-12-23T17:26:46.000Z
project-dbr77-001,"DBR77 Transformation Program",active,,,2025-12-23T17:26:46.000Z
2fbb1e31-6c71-4228-b775-05aae98690d6,"DBR77 Transformation Program",active,,,2025-12-23T17:26:46.000Z
655bb4b2-e757-480c-8d8d-df37a552c5bb,"DBR77 Transformation Program",active,,,2026-02-16T20:37:36.154Z
5061af12-91d7-54b1-b424-9b5d9a715496,"DBR77 Transformation Program",active,,,2026-02-16T20:37:36.154Z
b4695c7c-0434-46ac-9cc1-3cd89afc463a,"DBR77 Transformation Program",active,,,2026-02-16T20:37:36.154Z
