/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify	4610ddb7de335071921435d265bb499ac2ac51e2	98	2940
/private/tmp/consultify-ui45-candidate-2026-08-08	64856e790afd0a66547d993fba13769878669c62	0	0
/Users/piotrwisniewski/.codex/worktrees/9e68/consultify	75c674b4a9f9251f26f237e0cf59bd55a688c947	0	0
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify-agent-t01-i01	3b0c337ee472d07122033d5339cdf3bdb2f254ee	114	224
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify-canonical-demo-20260807	3b0c337ee472d07122033d5339cdf3bdb2f254ee	0	0
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify-cb01-accessibility-20260808	3b0c337ee472d07122033d5339cdf3bdb2f254ee	32	21
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify-cb03-availability-20260808	3b0c337ee472d07122033d5339cdf3bdb2f254ee	13	7
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify-cb05-spatial-20260808	3b0c337ee472d07122033d5339cdf3bdb2f254ee	18	18
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify-documents-suite-v2-20260807	75c674b4a9f9251f26f237e0cf59bd55a688c947	68	0
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify-finance-recovery-20260807	a14467cdda16a19c436b729b14c3cbcf72e5487a	42	308
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify/.claude/worktrees/agent-a884e19a8cf6d3180	f3a45b0c9084c90ac20a77759e8e64375e3a3b3f	0	2
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify/.claude/worktrees/agent-a8eb91998b5d24e38	f3a45b0c9084c90ac20a77759e8e64375e3a3b3f	0	1
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify/.claude/worktrees/exciting-ardinghelli-69aac9	51018bd14b1230d4a6250ed7b56d577a90bfd533	2	0
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify/.claude/worktrees/goofy-wilbur-426cd0	f3a45b0c9084c90ac20a77759e8e64375e3a3b3f	0	3
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify/.claude/worktrees/nostalgic-dijkstra-93af72	f3a45b0c9084c90ac20a77759e8e64375e3a3b3f	1	0
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify/.claude/worktrees/serene-ramanujan-d0fa9c	f3a45b0c9084c90ac20a77759e8e64375e3a3b3f	0	0
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify/.claude/worktrees/sleepy-shamir-cc68d9	2ea8040050102e89ec35775d0567ee4236e523c9	0	0
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify/.claude/worktrees/strange-booth-1c5c69	f3a45b0c9084c90ac20a77759e8e64375e3a3b3f	18	0
/Users/piotrwisniewski/Library/Mobile Documents/com~apple~CloudDocs/Documents/Antygracity/DRD/consultify/.claude/worktrees/vigorous-moser-0a3eae	f3a45b0c9084c90ac20a77759e8e64375e3a3b3f	0	402
