path	sources	owner	decision
.claude/launch.json	REPORT_B_UI_LOCAL,UI45_COMMITTED	REPORT_B_UI	REPORT_B_UI_RECOVERY
.husky/pre-commit	UI45_COMMITTED	REPORT_B_UI	REPORT_B_UI_RECOVERY
AI_HANDOVER/finance-recovery-20260807-0915/CHECKPOINT.md	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AI_HANDOVER/finance-recovery-20260807-0915/SHA256SUMS	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AI_HANDOVER/finance-recovery-20260807-0915/consultify-finance-recovery.dump	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AI_HANDOVER/finance-recovery-20260807-0915/finance-apator-recovery-20260807.json	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AI_HANDOVER/finance-recovery-20260807-0915/git-status.txt	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AI_HANDOVER/finance-recovery-20260807-0915/head.txt	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AI_HANDOVER/finance-recovery-20260807-0915/storage.tar.gz	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AI_HANDOVER/finance-recovery-20260807-0915/tracked-changes.patch	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AI_HANDOVER/finance-recovery-20260807-0915/untracked-files.tar.gz	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AI_HANDOVER/threads/consultify_artifact_uiux_report_b_audit.md	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AI_HANDOVER/threads/documents_runtime_checkpoint_20260807.md	DOCUMENTS_COMMITTED	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AI_HANDOVER/threads/ui_table_repair_45_autonomous_supervision.md	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
AUDYT_SRODOWISKA_ODBIORU.md	REPORT_B_UI_LOCAL	REPORT_B_UI	REPORT_B_UI_RECOVERY
CONSULTIFY_COMPLETE_MVP_CHECKPOINT.md	REPORT_B_UI_LOCAL	GOVERNANCE_OWNER	REVIEW_SEPARATELY
CONSULTIFY_ROUND2_HARDENING_BACKLOG.csv	REPORT_B_UI_LOCAL	REPORT_B_UI	REPORT_B_UI_RECOVERY
Dockerfile.api	DOCUMENTS_COMMITTED,V8_COMMITTED,V8_LOCAL	AGENT_V8	DOCUMENTS_INHERITS_V8_DO_NOT_DUPLICATE
