changed_source	importer_count	importers
src/components/SuperAdmin/AlertPlaygroundTester.tsx	0	NONE_FOUND
src/components/SuperAdmin/AnalyticsPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/ApiManagementPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/BackupPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/ContentAnalyticsDashboard.tsx	0	NONE_FOUND
src/components/SuperAdmin/ContentCategoriesManager.tsx	0	NONE_FOUND
src/components/SuperAdmin/ContentFilters.tsx	0	NONE_FOUND
src/components/SuperAdmin/ContentSearch.tsx	0	NONE_FOUND
src/components/SuperAdmin/ContentTagsManager.tsx	0	NONE_FOUND
src/components/SuperAdmin/EmailConfigurationPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/EmailTemplateEditor.tsx	0	NONE_FOUND
src/components/SuperAdmin/FeatureFlagsPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/IncidentRunbooksCard.tsx	0	NONE_FOUND
src/components/SuperAdmin/IntegrationsPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/LegalPanel.tsx	1	tests/unit/components/SuperAdmin/LegalPanel.honesty.test.tsx
src/components/SuperAdmin/ModelRegistry/ModelAuditLog.tsx	0	NONE_FOUND
src/components/SuperAdmin/ModelRegistry/PricingPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/ModelRegistry/PurposeAssignmentsEditor.tsx	0	NONE_FOUND
src/components/SuperAdmin/ModelTierAssignments.tsx	0	NONE_FOUND
src/components/SuperAdmin/OperationsHealthDrilldownPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/PlaybookTemplateAnalytics.tsx	0	NONE_FOUND
src/components/SuperAdmin/PlaybookTemplateComments.tsx	0	NONE_FOUND
src/components/SuperAdmin/PlaybookTemplateReviews.tsx	0	NONE_FOUND
src/components/SuperAdmin/PlaybookTemplateVersionHistory.tsx	0	NONE_FOUND
src/components/SuperAdmin/SecurityPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/SubscriberTokenManagementPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/SuperAdminAISettings.tsx	0	NONE_FOUND
src/components/SuperAdmin/SuperAdminStatusIndicators.tsx	0	NONE_FOUND
src/components/SuperAdmin/SuperadminRootClosurePanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/UsageStatsPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/billing/BillingOverviewPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/billing/CreditNotesPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/billing/InvoicesPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/billing/SubscriptionsPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/data/BackupConfigPanel.tsx	1	tests/unit/components/SuperAdmin/BackupConfigPanel.honesty.test.tsx
src/components/SuperAdmin/data/DataExportPanel.tsx	1	tests/unit/components/SuperAdmin/DataExportPanel.honesty.test.tsx
src/components/SuperAdmin/integrations/WebhookDeliveriesModal.tsx	0	NONE_FOUND
src/components/SuperAdmin/integrations/WebhooksPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/security/IPAccessRulesPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/security/LoginAttemptsPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/security/SecurityPoliciesPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/security/SessionManagementPanel.tsx	0	NONE_FOUND
src/components/SuperAdmin/system/EnterpriseAnalyticsPanel.tsx	1	tests/unit/components/SuperAdmin/EnterpriseAnalyticsPanel.honesty.test.tsx
src/components/SuperAdmin/system/EnterpriseApiManagement.tsx	1	tests/unit/components/SuperAdmin/EnterpriseApiManagement.honesty.test.tsx
src/components/SuperAdmin/system/EnterpriseAuditLog.tsx	1	tests/unit/components/SuperAdmin/EnterpriseAuditLog.honesty.test.tsx
