op,element,pole,przed,po
d6,"ie_aggregate_relations.{""organization_id"":""468b234c-66c4-54e1-b",istnieje,TAK,NIE (usunięto)
d6,ie_aggregate_state.proposal-w1a-probe-1789040489735,istnieje,TAK,NIE (usunięto)
d6,ie_aggregate_state.initiative-w1a-probe-1789040489735,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.709,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.710,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.711,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.712,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.proposal-w1a-probe-1789040489735,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789040489735,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789040489735,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789040489735,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.706,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.707,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.708,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.709,istnieje,TAK,NIE (usunięto)
d6,initiative_candidates.proposal-w1a-probe-1789040489735,istnieje,TAK,NIE (usunięto)
