op,element,pole,przed,po
d6,"ie_aggregate_relations.{""organization_id"":""468b234c-66c4-54e1-b",istnieje,TAK,NIE (usunięto)
d6,ie_aggregate_state.proposal-w1a-probe-1789164643661,istnieje,TAK,NIE (usunięto)
d6,ie_aggregate_state.initiative-w1a-probe-1789164643661,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.735,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.736,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.737,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.738,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.proposal-w1a-probe-1789164643661,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789164643661,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789164643661,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789164643661,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.732,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.733,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.734,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.735,istnieje,TAK,NIE (usunięto)
d6,initiative_candidates.proposal-w1a-probe-1789164643661,istnieje,TAK,NIE (usunięto)
