op,element,pole,przed,po
d6,"ie_aggregate_relations.{""organization_id"":""468b234c-66c4-54e1-b",istnieje,TAK,
d6,ie_aggregate_state.proposal-w1a-probe-1789153253681,istnieje,TAK,
d6,ie_aggregate_state.initiative-w1a-probe-1789153253681,istnieje,TAK,
d6,ie_audit_events.729,istnieje,TAK,
d6,ie_audit_events.730,istnieje,TAK,
d6,ie_audit_events.731,istnieje,TAK,
d6,ie_audit_events.732,istnieje,TAK,
d6,ie_command_receipts.proposal-w1a-probe-1789153253681,istnieje,TAK,
d6,ie_command_receipts.initiative-w1a-probe-1789153253681,istnieje,TAK,
d6,ie_command_receipts.initiative-w1a-probe-1789153253681,istnieje,TAK,
d6,ie_command_receipts.initiative-w1a-probe-1789153253681,istnieje,TAK,
d6,ie_outbox_events.726,istnieje,TAK,
d6,ie_outbox_events.727,istnieje,TAK,
d6,ie_outbox_events.728,istnieje,TAK,
d6,ie_outbox_events.729,istnieje,TAK,
d6,initiative_candidates.proposal-w1a-probe-1789153253681,istnieje,TAK,
