op,element,pole,przed,po
d4,initiatives.9825ac24-bf6c-4d3d-991e-1cbc97312a1f,archived,false,
d4,initiatives.bafcb088-5453-4345-9500-5723d883fe2c,archived,false,
d4,raid_items.172bace5-b4df-4f8b-b4ae-294393e0cbe0,status,OPEN,
d4,raid_items.e3f56e8c-d65a-4c98-ab85-6cec772e801d,status,OPEN,
d4,raid_items.e1318dc7-4bc2-45d6-9b63-33c50d54c105,status,OPEN,
d4,tasks.3eda96ba-02a9-4613-8238-c0e226a42d78,status,todo,
d4,tasks.f47460ae-76ca-4e2c-b770-d34852f2d190,status,todo,
d4,tasks.4f3342f6-ba44-4297-872b-3dea6dae4da8,status,todo,
d4,tasks.fe570b3c-d408-41aa-a592-3f0f9d636708,status,todo,
d4,tasks.58dc7726-3041-4cf6-a8a7-712c52075006,status,todo,
d4,tasks.583726e0-85b1-4229-8c13-9ff9d2d592f3,status,todo,
d4,tasks.6dc98550-9ccb-4548-b2bd-0e2691950b58,status,todo,
d4,tasks.1717f3ef-b267-4c5f-9aff-bcde4f33ce96,status,todo,
d4,tasks.9acf6eaf-d399-41be-b907-5a9341220ff3,status,todo,
d4,tasks.d35897b5-6ea6-45c6-9f09-1226e46c7692,status,todo,
d4,tasks.9f4d8c6e-7ce0-4455-9aa4-a03abb632cda,status,todo,
d4,tasks.3f167e3d-336f-4089-89db-872bea02595d,status,todo,
d4,tasks.3a6f9beb-0220-48e6-890c-956b2a6813a8,status,todo,
d4,tasks.016851b5-7a43-4b08-b5a8-5a8cd9774e8a,status,todo,
d4,decisions.dc34768a-1e72-498b-9beb-9b2bf0c66b92,status (zależność Fork),pending,
