op,element,pole,przed,po
d6,"ie_aggregate_relations.{""organization_id"":""468b234c-66c4-54e1-b",istnieje,TAK,NIE (usunięto)
d6,ie_aggregate_state.proposal-w1a-probe-1789050620379,istnieje,TAK,NIE (usunięto)
d6,ie_aggregate_state.initiative-w1a-probe-1789050620379,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.717,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.718,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.719,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.720,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.proposal-w1a-probe-1789050620379,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789050620379,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789050620379,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789050620379,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.714,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.715,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.716,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.717,istnieje,TAK,NIE (usunięto)
d6,initiative_candidates.proposal-w1a-probe-1789050620379,istnieje,TAK,NIE (usunięto)
