product,scope_type,asset_slug,relative_path,is_archive,format_family,has_hero,has_analytical,has_social,numbered_style,has_objective_label,has_negative_prompt_label,has_avoid_label,has_aspect_ratio_or_framing,has_no_text_or_overlay_note,quality_band,recommended_priority,issue_flags
Consultify,blog,01_why_traditional_consulting_is_broken,Consultify/Blog/01_why_traditional_consulting_is_broken/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,02_10_questions_before_buying_ai_consulting_platform,Consultify/Blog/02_10_questions_before_buying_ai_consulting_platform/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,03_first_30_minutes_in_consultify,Consultify/Blog/03_first_30_minutes_in_consultify/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,04_roi_calculator_guide,Consultify/Blog/04_roi_calculator_guide/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,05_ai_driven_swot,Consultify/Blog/05_ai_driven_swot/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,06_scenario_planning,Consultify/Blog/06_scenario_planning/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,07_competitive_intelligence,Consultify/Blog/07_competitive_intelligence/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,08_strategic_alignment,Consultify/Blog/08_strategic_alignment/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,09_data_first_strategy,Consultify/Blog/09_data_first_strategy/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,10_decision_latency,Consultify/Blog/10_decision_latency/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,11_strategic_reporting,Consultify/Blog/11_strategic_reporting/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,12_okr_management,Consultify/Blog/12_okr_management/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,false,true,true,A,P2,none
Consultify,blog,13_why_board_updates_should_come_from_live_transformation_systems,Consultify/Blog/13_why_board_updates_should_come_from_live_transformation_systems/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,true,true,true,A,P2,none
Consultify,blog,14_why_strategy_workshops_fail_without_execution_system,Consultify/Blog/14_why_strategy_workshops_fail_without_execution_system/image-prompts.md,false,bullet_objective_scene_style,true,true,true,false,true,true,true,true,true,A,P2,none
